id,usd_value,follower_count
0xc5282beaa4657a50a8de70c95dba99ac075404d4,368.82168846966124,194
0xeadb746ad05eb0face176062348cbc966db8e6f3,368.0213055613619,229
0x6a0cd3795a355c57c44c83c4afc0bd7bb69f4a80,367.2875754522641,187
0xa382cdf63f0da2cef048dc2e7f827b3754f21e92,367.2484067735265,195
0x9e65c0da95e3bc18d0dd11e1f3c7de993f973ead,366.9849546060689,199
0x2ab6fed2fd7f330ef40117d082ef550dcf223f8e,390.1981005756711,277
0x2ec2764800feb77399617dbe3c838ddf2128a0c6,366.40904479035333,180
0x447ecaae10b7636ec328e3d340eef8005b25e1ee,366.30994980115815,127
0x567999d647a4f3fb7d1d7a165304ddc55b427493,366.12347152576086,571
0x5723884186fbf9d186921e2a5eb337b60690e724,364.3110828382622,5402
0x0a99919e0d307f4b78eec682d730b10b6da84eec,364.1471145384619,201
0x11f2a5c245e95a3424331e9893600dc93732803e,363.2447128922626,303
0x13df0ca79ad20e4387c9b618abbbdeaa77717843,363.19570692364243,578
0xeaef5143befb48e36b409b1b37fa9d13c4c22d19,363.1508605563426,49
0x480037325627714c4f2618bf2331b477bb7204d8,363.14059628738505,184
0xa80558dae68549e9e1f994f3d2323f6e5bab715f,360.3791047373051,306
0x4b2132b7f74d990ed0534583123b1b2d8c6bf377,360.2334684245577,268
0xe7215c0e5df62b87fffb59fe9e2286177ef2101f,357.73555729264257,198
0x170edb8627eb67a9c87b19d96ecc35a66060acef,357.02435129545586,2
0xa7df8ee8bf4561a84f3016c4cfe4ff4ee0e3e3a4,355.12928612079236,209
0xcf84a16844543a49cace8c55a46875f4d542eadb,354.712808671586,192
0xf4ceec13ff92a2b274e56b5b646c0edde4583cf5,352.4087134042988,12
0xbe1495987977db3f35dd7103a423fdb5db4e81f2,352.16896737621903,198
0x80225b30e62776eee90ed005c8705330c2d4da74,352.0552131614333,215
0x6dbcafed99b0eff9dd5e768859d0a0c3ccdaa1cf,351.8001886075484,389
0xb50e5ca98c381f3b813335d2cabd756e319bd886,350.1677345209562,18
0x88ce43b0c597db8d669dbd75613210abba416bc9,347.71799145393794,532
0x50b68702548fd2bfde1c4c02129cb2ce7067b2c4,346.3279429720218,828
0xd257406916322166c750ea169208a9b2e1fd2c90,344.0592551623182,322
0x87c65c0cb8c967077a688e848a9385c969ad56e9,342.0405585670937,483
0xd60991975f94315a6d281f53853d8d82380b13a6,340.9050465812657,229
0xf81790e8cbd23d2c54fffa36c100d9019c86e2fe,338.9687739109336,1483
0xf98165658f094f26f3dd29e26ccadf5f0d1a24f0,336.6254982289309,236
0xc2d3a3b40cf7581484b3dc6c663d80c2b2a999dc,335.5518542556917,2189
0x1a09ebdce481335c809c766a221909f1cabe9947,334.65191128189883,155
0xa7c6cb4cbfbbdc172d1dcc9b586121fa1c99b961,330.8147749037882,8
